idpessoa,uf,cidade,risk_score,abc,recommended_product,reason,pitch
0100AVM8CN,SP,"Pilar do Sul",86.47,A,01000M1H3G,CHURN_REVERSAL_HOOK,"Oferecer reposição do seu produto favorito."
0100AR8QC3,SP,"Pilar do Sul",98.47,A,01000E0HFX,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
0100BGF72W,SP,"Pilar do Sul",99.41,A,01000OIT04,CHURN_REVERSAL_HOOK,"Oferecer reposição do seu produto favorito."
0100C5D95W,SP,"Pilar do Sul",97.93,B,01000KLX5P,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
0100C36Q5B,SP,"Pilar do Sul",97.21,C,01000CD901,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
0100015M60,SP,"Pilar do Sul",98.31,C,01000LQY0G,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
0100CDDROZ,SP,"Pilar do Sul",97.91,C,01005EA7N1,CHURN_REVERSAL_HOOK,"Oferecer reposição do seu produto favorito."
0100E0A4A4,SP,"Pilar do Sul",81.30,C,01000N2M1N,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
0100050LAE,SP,"Pilar do Sul",100.00,null,null,null,"Novidade do catálogo."
010005GE6F,SP,"Pilar do Sul",100.00,null,null,null,"Novidade do catálogo."
010005T86B,SP,"Pilar do Sul",100.00,null,null,null,"Novidade do catálogo."
0100076V2F,SP,"Pilar do Sul",100.00,null,null,null,"Novidade do catálogo."
0100078KCX,SP,"Pilar do Sul",100.00,null,null,null,"Novidade do catálogo."
010007PMD1,SP,"Pilar do Sul",100.00,null,null,null,"Novidade do catálogo."
0100080AC3,SP,"Pilar do Sul",100.00,null,null,null,"Novidade do catálogo."
0100080Z1W,SP,"Pilar do Sul",100.00,null,null,null,"Novidade do catálogo."
0100AR5E3A,SP,"Pilar do Sul",100.00,null,null,null,"Novidade do catálogo."
0100ER4I00,SP,"Pilar do Sul",100.00,null,null,null,"Novidade do catálogo."
010001IE6L,SP,"Pilar do Sul",100.00,null,null,null,"Novidade do catálogo."
010002GD0E,SP,"Pilar do Sul",100.00,null,null,null,"Novidade do catálogo."
010002R979,SP,"Pilar do Sul",100.00,null,null,null,"Novidade do catálogo."
010003SI2R,SP,"Pilar do Sul",100.00,null,null,null,"Novidade do catálogo."
0100047L4I,SP,"Pilar do Sul",100.00,null,null,null,"Novidade do catálogo."
010004AEAZ,SP,"Pilar do Sul",100.00,null,null,null,"Novidade do catálogo."
010004LO5J,SP,"Pilar do Sul",100.00,null,null,null,"Novidade do catálogo."
