idpessoa,uf,cidade,risk_score,confidence,abc,ltv
010000RF5E,SP,"SAO PAULO",100.00,90.00,null,null
010000L52N,SP,"SAO PAULO",100.00,90.00,null,null
01001QZPED,SP,"SAO PAULO",100.00,90.00,null,null
01001R1BM2,SP,"SAO PAULO",100.00,90.00,null,null
0100E4WYEC,SP,"SAO PAULO",100.00,90.00,null,null
01001SIV8T,SP,"SAO PAULO",100.00,90.00,null,null
01001R087D,SP,"SAO PAULO",100.00,90.00,null,null
01003PL74Y,SP,"SAO PAULO",100.00,90.00,null,null
01001R141Z,SP,"SAO PAULO",100.00,90.00,null,null
010000U9DZ,SP,"Sao Paulo",100.00,90.00,null,null
01001QYS66,SP,"SAO PAULO",100.00,90.00,null,null
01003Q8P2M,SP,"SAO PAULO",100.00,90.00,null,null
01001R0I0E,SP,"SAO PAULO",100.00,90.00,null,null
01001QZW4V,SP,"SAO PAULO",100.00,90.00,null,null
01000916CB,SP,"SAO PAULO",100.00,90.00,null,null
010000R90A,SP,"SAO PAULO",100.00,90.00,null,null
0100AVT2A7,SP,"Sao Paulo",100.00,90.00,null,null
01005Y5S12,SP,"SAO PAULO",100.00,90.00,null,null
01001OYX1H,SP,"SAO PAULO",100.00,90.00,null,null
01001QZF0V,SP,"SAO PAULO",100.00,90.00,null,null
01001QYV3E,SP,"SAO PAULO",100.00,90.00,null,null
010000QN1O,SP,"SAO PAULO",100.00,90.00,null,null
010000JL84,SP,"Sao Paulo",100.00,90.00,null,null
01001QYN5P,SP,"SAO PAULO",100.00,90.00,null,null
01001R2AEA,SP,"SAO PAULO",100.00,90.00,null,null
01001QZS2I,SP,"SAO PAULO",100.00,90.00,null,null
010000JC36,SP,"Sao Paulo",100.00,90.00,null,null
01003KHJ45,SP,"Sao Paulo",100.00,90.00,null,null
010000K36Y,SP,"Sao Paulo",100.00,90.00,null,null
010000JJ00,SP,"SAO PAULO",100.00,90.00,null,null
010000J733,SP,"SAO PAULO",100.00,90.00,null,null
01003OM36O,SP,"SAO PAULO",100.00,90.00,null,null
01001OTL8N,SP,"SAO PAULO",100.00,90.00,null,null
