idpessoa,cidade,uf,risk_score,confidence,abc,recommended_product,pitch
010000J733,"SAO PAULO",SP,100.00,90.00,,,""
010000JC36,"Sao Paulo",SP,100.00,90.00,,,""
010000JJ00,"SAO PAULO",SP,100.00,90.00,,,""
010000JL84,"Sao Paulo",SP,100.00,90.00,,,""
010000K36Y,"Sao Paulo",SP,100.00,90.00,,,""
010000L52N,"SAO PAULO",SP,100.00,90.00,,,""
010000QN1O,"SAO PAULO",SP,100.00,90.00,,,""
010000R90A,"SAO PAULO",SP,100.00,90.00,,,""
010000RF5E,"SAO PAULO",SP,100.00,90.00,,,""
010000U9DZ,"Sao Paulo",SP,100.00,90.00,,,""
01000916CB,"SAO PAULO",SP,100.00,90.00,,,""
01001OTL8N,"SAO PAULO",SP,100.00,90.00,,,""
01001OYX1H,"SAO PAULO",SP,100.00,90.00,,,""
01001QYN5P,"SAO PAULO",SP,100.00,90.00,,,""
01001QYS66,"SAO PAULO",SP,100.00,90.00,,,""
01001QYV3E,"SAO PAULO",SP,100.00,90.00,,,""
01001QZF0V,"SAO PAULO",SP,100.00,90.00,,,""
01001QZPED,"SAO PAULO",SP,100.00,90.00,,,""
01001QZS2I,"SAO PAULO",SP,100.00,90.00,,,""
01001QZW4V,"SAO PAULO",SP,100.00,90.00,,,""
01001R087D,"SAO PAULO",SP,100.00,90.00,,,""
01001R0I0E,"SAO PAULO",SP,100.00,90.00,,,""
01001R141Z,"SAO PAULO",SP,100.00,90.00,,,""
01001R1BM2,"SAO PAULO",SP,100.00,90.00,,,""
01001R2AEA,"SAO PAULO",SP,100.00,90.00,,,""
01001SIV8T,"SAO PAULO",SP,100.00,90.00,,,""
01003KHJ45,"Sao Paulo",SP,100.00,90.00,,,""
01003OM36O,"SAO PAULO",SP,100.00,90.00,,,""
01003PL74Y,"SAO PAULO",SP,100.00,90.00,,,""
01003Q8P2M,"SAO PAULO",SP,100.00,90.00,,,""
01005Y5S12,"SAO PAULO",SP,100.00,90.00,,,""
0100AVT2A7,"Sao Paulo",SP,100.00,90.00,,,""
0100E4WYEC,"SAO PAULO",SP,100.00,90.00,,,""
