idpessoa,uf,cidade,risk_score,confidence,abc,ltv
01008TA803,SP,"Sorocaba",98.79,69.50,A,1140.93
0100010K4Y,SP,"Sorocaba",89.06,69.50,A,1018.37
0100B5N80D,SP,"Sorocaba",93.63,69.50,A,904.46
0100029Y7S,SP,"Sorocaba",95.16,90.00,A,846.81
010007VA8S,SP,"Sorocaba",96.60,90.00,A,759.56
0100027W6C,SP,"Sorocaba",94.20,66.50,A,729.71
010008TVW9,SP,"Sorocaba",91.95,71.00,A,679.69
0100DZLX02,SP,"Sorocaba",71.40,66.50,A,678.14
010062CH0E,SP,"Sorocaba",88.88,71.00,A,665.99
010000YN14,SP,"Sorocaba",95.65,72.50,A,656.88
0100BOR8MN,SP,"Sorocaba",80.75,71.00,A,640.77
01008FI60P,SP,"Sorocaba",95.77,69.50,A,639.57
0100025S48,SP,"Sorocaba",96.84,66.50,A,616.09
0100019MTG,SP,"Sorocaba",80.51,80.00,A,613.64
01008F98M4,SP,"Sorocaba",99.61,90.00,A,602.61
0100BCK41G,SP,"Sorocaba",97.60,68.00,A,583.55
01005LJ101,SP,"Sorocaba",99.99,90.00,A,580.68
01005YQYGS,SP,"Sorocaba",99.97,90.00,A,567.78
01005HN13H,SP,"Sorocaba",99.88,90.00,A,567.48
0100632T2Q,SP,"Sorocaba",99.85,90.00,A,562.55
0100DPDV02,SP,"Sorocaba",80.94,66.50,A,550.15
0100CNJU7L,SP,"Sorocaba",82.13,68.00,A,542.36
0100E07MDC,SP,"Sorocaba",73.33,66.50,A,518.19
010002320Q,SP,"Sorocaba",73.93,69.50,A,501.46
010003QE06,SP,"Sorocaba",71.81,68.00,A,501.19
0100BI726P,SP,"Sorocaba",78.41,68.00,A,499.84
0100ANTXME,SP,"Sorocaba",99.64,90.00,A,495.10
0100050ZAF,SP,"Sorocaba",71.18,68.00,A,494.44
010002BR11,SP,"Sorocaba",99.94,90.00,A,479.92
0100BMOP0N,SP,"Sorocaba",98.59,68.00,A,478.14
010001WUAI,SP,"Sorocaba",96.11,90.00,A,473.63
0100BD6MIK,SP,"Sorocaba",99.38,68.00,A,469.50
0100CXMCHV,SP,"Sorocaba",91.98,66.50,A,448.09
0100054P3Z,SP,"Sorocaba",97.69,90.00,A,447.39
01000908AO,SP,"Sorocaba",99.52,90.00,A,446.95
0100B9E319,SP,"Sorocaba",98.95,66.50,A,436.92
0100AHRQ21,SP,"Sorocaba",75.70,68.00,A,433.19
0100AG3Y08,SP,"Sorocaba",99.90,90.00,A,431.74
0100E0YP37,SP,"Sorocaba",75.45,66.50,A,430.47
0100B7UP1W,SP,"Sorocaba",99.07,90.00,A,410.55
0100935Z9S,SP,"Sorocaba",78.17,68.00,A,409.34
0100B77T4Q,SP,"Sorocaba",99.08,90.00,A,401.61
010069RL4Z,SP,"Sorocaba",98.48,69.50,A,399.19
010001NDCG,SP,"Sorocaba",87.02,68.00,A,394.81
0100CFQU5W,SP,"Sorocaba",96.36,66.50,A,392.61
0100CO7E3B,SP,"Sorocaba",74.51,72.50,A,387.64
0100BQZJHH,SP,"Sorocaba",84.36,68.00,A,385.13
0100DRDEGW,SP,"Sorocaba",80.18,66.50,A,384.56
010002AI7B,SP,"Sorocaba",99.93,90.00,A,374.05
0100CKSF2H,SP,"Sorocaba",82.06,68.00,A,373.60
0100B8IMI8,SP,"Sorocaba",99.53,90.00,A,366.60
0100626ABZ,SP,"Sorocaba",99.98,90.00,A,362.28
0100B83W1Y,SP,"Sorocaba",89.18,68.00,A,358.75
0100B7RL08,SP,"Sorocaba",77.15,68.00,A,352.99
0100CKGB2C,SP,"Sorocaba",89.11,66.50,A,347.14
010064CM20,SP,"Sorocaba",83.72,68.00,A,344.72
