idpessoa,uf,cidade,risk_score,abc,recommended_product,reason,pitch
01008TA803,SP,"Sorocaba",98.79,A,01000MEU29,CHURN_REVERSAL_HOOK,"Oferecer reposição do seu produto favorito."
0100010K4Y,SP,"Sorocaba",89.06,A,01000MAP24,HIGH_HISTORICAL_VOLUME,"Novidade do catálogo."
0100B5N80D,SP,"Sorocaba",93.63,A,01000E0HFX,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
0100029Y7S,SP,"Sorocaba",95.16,A,01000MN9C8,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
010007VA8S,SP,"Sorocaba",96.60,A,0100AXS535,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
0100027W6C,SP,"Sorocaba",94.20,A,01000NPT7A,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
010008TVW9,SP,"Sorocaba",91.95,A,01000KZTDQ,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
0100DZLX02,SP,"Sorocaba",71.40,A,01000N2W4T,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
010062CH0E,SP,"Sorocaba",88.88,A,01000MEU29,CHURN_REVERSAL_HOOK,"Oferecer reposição do seu produto favorito."
010000YN14,SP,"Sorocaba",95.65,A,01008MAD0O,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
0100BOR8MN,SP,"Sorocaba",80.75,A,01000NXJ5W,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
01008FI60P,SP,"Sorocaba",95.77,A,01000NOX3W,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
0100025S48,SP,"Sorocaba",96.84,A,010009M8J5,BOUGHT_PREVIOUSLY,"Novidade do catálogo."
0100019MTG,SP,"Sorocaba",80.51,A,01000NWI43,CHURN_REVERSAL_HOOK,"Oferecer reposição do seu produto favorito."
01008F98M4,SP,"Sorocaba",99.61,A,0100B5RE0X,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
