idpessoa,cidade,uf,risk_score,confidence,abc,recommended_product,pitch
01005HDE5N,"Sorocaba",SP,100.00,90.00,A,01003M2TI3,"Comprado frequentemente por clientes com perfil similar ao seu."
010001IWHX,"Sorocaba",SP,100.00,90.00,A,01000M3LP0,"Comprado frequentemente por clientes com perfil similar ao seu."
01005JS3CT,"Sorocaba",SP,100.00,90.00,A,0100B5RE0X,"Comprado frequentemente por clientes com perfil similar ao seu."
010022KEPQ,"Sorocaba",SP,100.00,90.00,A,01000LAJ18,"Produto já comprado por você anteriormente."
010022IMAD,"Sorocaba",SP,100.00,90.00,A,01000AYCA1,"Comprado frequentemente por clientes com perfil similar ao seu."
01003EAV6O,"Sorocaba",SP,100.00,90.00,B,01000O2I1H,"Comprado frequentemente por clientes com perfil similar ao seu."
01000707E2,"Sorocaba",SP,100.00,90.00,B,01000OKLLX,"Temos uma oferta especial para você repor seu produto favorito!"
0100013OB0,"Sorocaba",SP,100.00,90.00,C,01000KRYJG,"Produto com alta aceitação entre o público masculino."
010002KS1M,"Sorocaba",SP,100.00,90.00,C,01000KRYJG,"Produto com alta aceitação entre o público masculino."
01003L8ZQ0,"Sorocaba",SP,100.00,90.00,C,01000AYE5G,"Produto muito procurado por clientes corporativos."
010005YJ6N,"Sorocaba",SP,100.00,90.00,C,01000KRYJG,"Produto com alta aceitação entre o público masculino."
01002F22C7,"Sorocaba",SP,100.00,90.00,C,01000KRYJG,"Comprado frequentemente por clientes com perfil similar ao seu."
010000W813,"Sorocaba",SP,100.00,90.00,C,01000FLS7T,"Comprado frequentemente por clientes com perfil similar ao seu."
0100012B2H,"Sorocaba",SP,100.00,90.00,C,01000KRYJG,"Produto com alta aceitação entre o público masculino."
010002F8IY,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
010002F60V,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
010002FAJR,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
010002EW75,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
010002E85U,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
010002F37Z,"Sorocaba",SP,100.00,90.00,,01000AYE5G,"Produto muito procurado por clientes corporativos."
010002FB3N,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
010002EPHM,"Sorocaba",SP,100.00,90.00,,01000FLBGS,"Produto muito procurado por clientes corporativos."
010002DS0C,"Sorocaba",SP,100.00,90.00,,0100B5RE0X,"Produto muito procurado por clientes corporativos."
