idpessoa,cidade,uf,risk_score,confidence,abc,recommended_product,pitch
010001R22A,"Votorantim",SP,100.00,90.00,A,01000K7E42,"Temos uma oferta especial para você repor seu produto favorito!"
01003HF739,"Votorantim",SP,100.00,90.00,A,01000F9OG4,"Temos uma oferta especial para você repor seu produto favorito!"
01003FE537,"Votorantim",SP,100.00,90.00,C,01000BU44B,"Temos uma oferta especial para você repor seu produto favorito!"
010000WE02,"Votorantim",SP,100.00,90.00,,,""
010000XU3Y,"Votorantim",SP,100.00,90.00,,,""
010000YX0V,"Votorantim",SP,100.00,90.00,,,""
0100012W4M,"Votorantim",SP,100.00,90.00,,,""
0100013Q7E,"Votorantim",SP,100.00,90.00,,,""
01000148AR,"Votorantim",SP,100.00,90.00,,,""
0100015245,"Votorantim",SP,100.00,90.00,,,""
0100015LI7,"Votorantim",SP,100.00,90.00,,,""
01000184AL,"Votorantim",SP,100.00,90.00,,,""
01000197AV,"Votorantim",SP,100.00,90.00,,,""
0100019B88,"Votorantim",SP,100.00,90.00,,,""
010001AJ3C,"Votorantim",SP,100.00,90.00,,,""
010001B5BN,"Votorantim",SP,100.00,90.00,,,""
010001BK2Z,"Votorantim",SP,100.00,90.00,,,""
010001BN21,"Votorantim",SP,100.00,90.00,,,""
010001C60M,"Votorantim",SP,100.00,90.00,,,""
010001CG23,"Votorantim",SP,100.00,90.00,,,""
010001CMCS,"Votorantim",SP,100.00,90.00,,,""
010001DK50,"Votorantim",SP,100.00,90.00,,,""
010001EALX,"Votorantim",SP,100.00,90.00,,,""
010001F42J,"Votorantim",SP,100.00,90.00,,,""
010001FD1N,"Votorantim",SP,100.00,90.00,,,""
010001FN1M,"Votorantim",SP,100.00,90.00,,,""
010001FU5H,"Votorantim",SP,100.00,90.00,,,""
010001FW98,"Votorantim",SP,100.00,90.00,,,""
010001G90E,"Votorantim",SP,100.00,90.00,,,""
010001GAI5,"Votorantim",SP,100.00,90.00,,,""
010001GN54,"Votorantim",SP,100.00,90.00,,,""
010001HX1H,"Votorantim",SP,100.00,90.00,,,""
010001J2EE,"Votorantim",SP,100.00,90.00,,,""
010001JD90,"Votorantim",SP,100.00,90.00,,,""
010001K76V,"Votorantim",SP,100.00,90.00,,,""
010001LE2F,"Votorantim",SP,100.00,90.00,,,""
010001LJ5E,"Votorantim",SP,100.00,90.00,,,""
010001NJ4B,"Votorantim",SP,100.00,90.00,,,""
010001NMA4,"Votorantim",SP,100.00,90.00,,,""
