idpessoa,cidade,abc,risk_score,confidence,stcredbloqueado
01005DUGPN,"Itu",A,100.00,90.00,true
01005KFP4O,"Iperó",A,100.00,90.00,true
01005KD363,"Iperó",A,100.00,90.00,true
01005K6T86,"Iperó",A,100.00,90.00,true
01005JS3CT,"Sorocaba",A,100.00,90.00,true
01005HDE5N,"Sorocaba",A,100.00,90.00,true
01003HF739,"Votorantim",A,100.00,90.00,true
0100664J0I,"Sorocaba",A,99.99,90.00,true
01005VBC84,"Sorocaba",A,99.99,90.00,true
01005WMLAJ,"Sorocaba",A,99.99,90.00,true
01005LJ101,"Sorocaba",A,99.99,90.00,true
0100642C7Q,"Sorocaba",A,99.99,90.00,true
01005X9225,"Iperó",A,99.98,90.00,true
01008LHB11,"Sorocaba",A,99.98,90.00,true
01008SG74G,"Sorocaba",A,99.98,90.00,true
0100626ABZ,"Sorocaba",A,99.98,90.00,true
01008HFJ97,"Sorocaba",A,99.98,90.00,true
01008JJU0C,"Sorocaba",A,99.98,90.00,true
0100627PNW,"Votorantim",A,99.98,90.00,true
01008SZYMU,"São Paulo",A,99.97,90.00,true
01008YEF03,"Sorocaba",A,99.97,90.00,true
01008AVB13,"Votorantim",A,99.97,90.00,true
01005YQYGS,"Sorocaba",A,99.97,90.00,true
01008VM62G,"Sorocaba",A,99.97,90.00,true
01008X3X37,"Sorocaba",A,99.97,90.00,true
01008F9IG6,"Salto de Pirapora",A,99.96,90.00,true
01005I27A2,"Iperó",A,99.96,90.00,true
010092OUHJ,"Sorocaba",A,99.96,90.00,true
01008CIR23,"Sorocaba",A,99.95,90.00,true
010098JV5U,"Indaiatuba",A,99.95,90.00,true
01008XZM89,"Sorocaba",A,99.94,90.00,true
01009E838B,"Salto de Pirapora",A,99.93,90.00,true
01008XVT2L,"Votorantim",A,99.92,90.00,true
0100AF5LD1,"Bauru",A,99.91,90.00,true
01006W0GTB,"Sorocaba",A,99.91,90.00,true
01008YJ1FB,"Sorocaba",A,99.91,90.00,true
0100AG3Y08,"Sorocaba",A,99.90,90.00,true
010093MFI7,"Sorocaba",A,99.89,90.00,true
010094IF9I,"Sorocaba",A,99.89,90.00,true
01005HN13H,"Sorocaba",A,99.89,90.00,true
0100ALDOA4,"Sorocaba",A,99.88,90.00,true
010098G23C,"Itu",A,99.88,90.00,true
0100AIRY1L,"São Gotardo",A,99.88,90.00,true
0100AN8227,"Sorocaba",A,99.87,90.00,true
01009C4GOX,"Sorocaba",A,99.87,90.00,true
01008XFX52,"Sorocaba",A,99.87,90.00,true
0100632T2Q,"Sorocaba",A,99.86,90.00,true
010093FMC1,"Sorocaba",A,99.84,90.00,true
01005Z3O04,"Sorocaba",A,99.83,90.00,true
0100AM6E6E,"Sorocaba",A,99.82,90.00,true
01009H7D9B,"Sorocaba",A,99.82,90.00,true
0100AX9J5O,"Sorocaba",A,99.78,90.00,true
0100B1H2NB,"Sorocaba",A,99.76,90.00,true
0100B2ZW2Z,"Sorocaba",A,99.75,90.00,true
0100AYDT27,"Sorocaba",A,99.74,90.00,true
0100B39A40,"Mairinque",A,99.73,90.00,true
0100B37Q86,"Sorocaba",A,99.73,90.00,true
0100AXD50R,"Sorocaba",A,99.72,90.00,true
0100B2DE0R,"Sorocaba",A,99.72,90.00,true
0100B4A01U,"Sorocaba",A,99.70,90.00,true
0100AN817A,"Sorocaba",A,99.68,90.00,true
0100AK5M2T,"Votorantim",A,99.68,90.00,true
0100B6SS09,"Sorocaba",A,99.67,90.00,true
0100ANTXME,"Sorocaba",A,99.66,90.00,true
0100B7GP5N,"Sorocaba",A,99.66,90.00,true
0100B7T431,"Sorocaba",A,99.65,90.00,true
0100B5DC01,"Sorocaba",A,99.65,90.00,true
0100APW941,"Sorocaba",A,99.64,90.00,true
0100BA3LA9,"Sorocaba",A,99.64,66.50,true
0100B7SODF,"Sorocaba",A,99.64,90.00,true
0100B7OX3Y,"Votorantim",A,99.64,90.00,true
0100ASR5BJ,"Sorocaba",A,99.62,90.00,true
01008F98M4,"Sorocaba",A,99.62,90.00,true
0100AQUQ0D,"Sorocaba",A,99.61,90.00,true
0100AIQA7N,"São Gotardo",A,99.60,90.00,true
0100B77XBD,"Sorocaba",A,99.60,90.00,true
0100BBMKJY,"Sorocaba",A,99.58,66.50,true
0100BB5F65,"Sorocaba",A,99.57,66.50,true
0100BA88C7,"Sorocaba",A,99.57,66.50,true
0100B8IMI8,"Sorocaba",A,99.55,90.00,true
0100BA016A,"Votorantim",A,99.55,68.00,true
0100BDH6DY,"Votorantim",A,99.54,66.50,true
0100BCDY73,"Sorocaba",A,99.54,66.50,true
0100BCPUCQ,"Salto de Pirapora",A,99.53,66.50,true
0100AZ3H4F,"Sorocaba",A,99.51,90.00,true
0100B5YA38,"Votorantim",A,99.51,68.00,true
0100B76D84,"Votorantim",A,99.51,68.00,true
0100AYGXA0,"Araçoiaba da Serra",A,99.50,90.00,true
0100BFJ827,"Sorocaba",A,99.50,66.50,true
0100BF070F,"Sorocaba",A,99.45,66.50,true
0100BEWY01,"Sorocaba",A,99.44,66.50,true
0100BGF72W,"Pilar do Sul",A,99.44,66.50,true
