idpessoa,cidade,uf,risk_score,confidence,abc,recommended_product,reason,pitch
0100013OB0,"Sorocaba",SP,100.00,90.00,C,01000KRYJG,LOOKALAKE_POPULAR_MASCULINO,"Produto com alta aceitação entre o público masculino."
010002KS1M,"Sorocaba",SP,100.00,90.00,C,01000KRYJG,LOOKALAKE_POPULAR_MASCULINO,"Produto com alta aceitação entre o público masculino."
010005YJ6N,"Sorocaba",SP,100.00,90.00,C,01000KRYJG,LOOKALAKE_POPULAR_MASCULINO,"Produto com alta aceitação entre o público masculino."
01002F22C7,"Sorocaba",SP,100.00,90.00,C,0100B5RE0X,LOOKALAKE_POPULAR_CORPORATE,"Produto muito procurado por clientes corporativos."
010000W813,"Sorocaba",SP,100.00,90.00,C,0100B5RE0X,LOOKALAKE_POPULAR_CORPORATE,"Produto muito procurado por clientes corporativos."
0100012B2H,"Sorocaba",SP,100.00,90.00,C,01000KRYJG,LOOKALAKE_POPULAR_MASCULINO,"Produto com alta aceitação entre o público masculino."
010000KGE9,"Sorocaba",SP,100.00,90.00,,01000KRYJG,LOOKALAKE_POPULAR_IN_REGION,"Sucesso de vendas na sua região."
010000KK17,"Sorocaba",SP,100.00,90.00,,01000KJ0V5,LOOKALAKE_POPULAR_IN_REGION,"Sucesso de vendas na sua região."
010000KL2O,"Sorocaba",SP,100.00,90.00,,01000KRYJG,LOOKALAKE_POPULAR_MASCULINO,"Produto com alta aceitação entre o público masculino."
010000KNAK,"Sorocaba",SP,100.00,90.00,,01000KRYJG,LOOKALAKE_POPULAR_MASCULINO,"Produto com alta aceitação entre o público masculino."
010000KQ3S,"Sorocaba",SP,100.00,90.00,,01000KRYJG,LOOKALAKE_POPULAR_MASCULINO,"Produto com alta aceitação entre o público masculino."
010000KT5Y,"Sorocaba",SP,100.00,90.00,,01000KJ0V5,LOOKALAKE_POPULAR_IN_REGION,"Sucesso de vendas na sua região."
010000KU0B,"Sorocaba",SP,100.00,90.00,,01000KJ0V5,LOOKALAKE_POPULAR_IN_REGION,"Sucesso de vendas na sua região."
010000KV2Z,"Sorocaba",SP,100.00,90.00,,01000N2W4T,LOOKALAKE_POPULAR_IN_REGION,"Sucesso de vendas na sua região."
010000KWJ3,"Sorocaba",SP,100.00,90.00,,01000KRYJG,LOOKALAKE_POPULAR_MASCULINO,"Produto com alta aceitação entre o público masculino."
010000KY27,"Sorocaba",SP,100.00,90.00,,01000KRYJG,LOOKALAKE_POPULAR_MASCULINO,"Produto com alta aceitação entre o público masculino."
010000KZ3W,"Sorocaba",SP,100.00,90.00,,01000KRYJG,LOOKALAKE_POPULAR_IN_REGION,"Sucesso de vendas na sua região."
010000L38P,"Sorocaba",SP,100.00,90.00,,01000KRYJG,LOOKALAKE_POPULAR_MASCULINO,"Produto com alta aceitação entre o público masculino."
010000L69D,"Sorocaba",SP,100.00,90.00,,01000KJ0V5,LOOKALAKE_POPULAR_IN_REGION,"Sucesso de vendas na sua região."
010000LK42,"Sorocaba",SP,100.00,90.00,,01000N2W4T,LOOKALAKE_POPULAR_IN_REGION,"Sucesso de vendas na sua região."
010000M4KX,"Sorocaba",SP,100.00,90.00,,01000KRYJG,LOOKALAKE_POPULAR_IN_REGION,"Sucesso de vendas na sua região."
010000M5AX,"Sorocaba",SP,100.00,90.00,,01000N2W4T,LOOKALAKE_POPULAR_IN_REGION,"Sucesso de vendas na sua região."
010000M90S,"Sorocaba",SP,100.00,90.00,,01000KRYJG,LOOKALAKE_POPULAR_MASCULINO,"Produto com alta aceitação entre o público masculino."
010000MD1O,"Sorocaba",SP,100.00,90.00,,01000N2W4T,LOOKALAKE_POPULAR_IN_REGION,"Sucesso de vendas na sua região."
010000MQBS,"Sorocaba",SP,100.00,90.00,,01000KRYJG,LOOKALAKE_POPULAR_MASCULINO,"Produto com alta aceitação entre o público masculino."
010000N680,"Sorocaba",SP,100.00,90.00,,01000N2W4T,LOOKALAKE_POPULAR_IN_REGION,"Sucesso de vendas na sua região."
010000N71T,"Sorocaba",SP,100.00,90.00,,01000KRYJG,LOOKALAKE_POPULAR_IN_REGION,"Sucesso de vendas na sua região."
010000N82U,"Sorocaba",SP,100.00,90.00,,01000N2W4T,LOOKALAKE_POPULAR_IN_REGION,"Sucesso de vendas na sua região."
010000O4BO,"Sorocaba",SP,100.00,90.00,,01000KRYJG,LOOKALAKE_POPULAR_MASCULINO,"Produto com alta aceitação entre o público masculino."
010000O518,"Sorocaba",SP,100.00,90.00,,01000KRYJG,LOOKALAKE_POPULAR_MASCULINO,"Produto com alta aceitação entre o público masculino."
010000O64S,"Sorocaba",SP,100.00,90.00,,01000FXF0I,LOOKALAKE_POPULAR_MASCULINO,"Produto com alta aceitação entre o público masculino."
010000O790,"Sorocaba",SP,100.00,90.00,,01000KRYJG,LOOKALAKE_POPULAR_MASCULINO,"Produto com alta aceitação entre o público masculino."
010000OC4V,"Sorocaba",SP,100.00,90.00,,01000KRYJG,LOOKALAKE_POPULAR_IN_REGION,"Sucesso de vendas na sua região."
010000OE3J,"Sorocaba",SP,100.00,90.00,,01000KRYJG,LOOKALAKE_POPULAR_MASCULINO,"Produto com alta aceitação entre o público masculino."
010000OF2U,"Sorocaba",SP,100.00,90.00,,01000KRYJG,LOOKALAKE_POPULAR_MASCULINO,"Produto com alta aceitação entre o público masculino."
010000OH9Z,"Sorocaba",SP,100.00,90.00,,01000KRYJG,LOOKALAKE_POPULAR_MASCULINO,"Produto com alta aceitação entre o público masculino."
010000OMCL,"Sorocaba",SP,100.00,90.00,,01000KRYJG,LOOKALAKE_POPULAR_MASCULINO,"Produto com alta aceitação entre o público masculino."
010000OP6L,"Sorocaba",SP,100.00,90.00,,01000KRYJG,LOOKALAKE_POPULAR_MASCULINO,"Produto com alta aceitação entre o público masculino."
010000ORQD,"Sorocaba",SP,100.00,90.00,,01000KRYJG,LOOKALAKE_POPULAR_MASCULINO,"Produto com alta aceitação entre o público masculino."
010000OT5T,"Sorocaba",SP,100.00,90.00,,01000KRYJG,LOOKALAKE_POPULAR_MASCULINO,"Produto com alta aceitação entre o público masculino."
010000OV16,"Sorocaba",SP,100.00,90.00,,01000KJ0V5,LOOKALAKE_POPULAR_IN_REGION,"Sucesso de vendas na sua região."
010000OW22,"Sorocaba",SP,100.00,90.00,,01000KRYJG,LOOKALAKE_POPULAR_MASCULINO,"Produto com alta aceitação entre o público masculino."
010000OXF7,"Sorocaba",SP,100.00,90.00,,01000N2W4T,LOOKALAKE_POPULAR_IN_REGION,"Sucesso de vendas na sua região."
010000OZO3,"Sorocaba",SP,100.00,90.00,,01000KRYJG,LOOKALAKE_POPULAR_MASCULINO,"Produto com alta aceitação entre o público masculino."
010000P1C5,"Sorocaba",SP,100.00,90.00,,01000KRYJG,LOOKALAKE_POPULAR_IN_REGION,"Sucesso de vendas na sua região."
010000P34B,"Sorocaba",SP,100.00,90.00,,01000KRYJG,LOOKALAKE_POPULAR_MASCULINO,"Produto com alta aceitação entre o público masculino."
010000P52C,"Sorocaba",SP,100.00,90.00,,01000KRYJG,LOOKALAKE_POPULAR_IN_REGION,"Sucesso de vendas na sua região."
010000P7AL,"Sorocaba",SP,100.00,90.00,,01000KRYJG,LOOKALAKE_POPULAR_MASCULINO,"Produto com alta aceitação entre o público masculino."
010000P9GK,"Sorocaba",SP,100.00,90.00,,01000KRYJG,LOOKALAKE_POPULAR_MASCULINO,"Produto com alta aceitação entre o público masculino."
010000PA73,"Sorocaba",SP,100.00,90.00,,01000KRYJG,LOOKALAKE_POPULAR_MASCULINO,"Produto com alta aceitação entre o público masculino."
010000PB28,"Sorocaba",SP,100.00,90.00,,01000KRYJG,LOOKALAKE_POPULAR_MASCULINO,"Produto com alta aceitação entre o público masculino."
010000PC3I,"Sorocaba",SP,100.00,90.00,,01000KRYJG,LOOKALAKE_POPULAR_MASCULINO,"Produto com alta aceitação entre o público masculino."
010000PE03,"Sorocaba",SP,100.00,90.00,,01000KRYJG,LOOKALAKE_POPULAR_IN_REGION,"Sucesso de vendas na sua região."
010000PGKB,"Sorocaba",SP,100.00,90.00,,01000KRYJG,LOOKALAKE_POPULAR_MASCULINO,"Produto com alta aceitação entre o público masculino."
010000PH1P,"Sorocaba",SP,100.00,90.00,,01000KRYJG,LOOKALAKE_POPULAR_MASCULINO,"Produto com alta aceitação entre o público masculino."
010000PJEA,"Sorocaba",SP,100.00,90.00,,01000KRYJG,LOOKALAKE_POPULAR_MASCULINO,"Produto com alta aceitação entre o público masculino."
010000PK8A,"Sorocaba",SP,100.00,90.00,,01000N2W4T,LOOKALAKE_POPULAR_IN_REGION,"Sucesso de vendas na sua região."
010000PL7T,"Sorocaba",SP,100.00,90.00,,01000KRYJG,LOOKALAKE_POPULAR_MASCULINO,"Produto com alta aceitação entre o público masculino."
010000PN1K,"Sorocaba",SP,100.00,90.00,,01000KRYJG,LOOKALAKE_POPULAR_MASCULINO,"Produto com alta aceitação entre o público masculino."
010000PP97,"Sorocaba",SP,100.00,90.00,,01000KRYJG,LOOKALAKE_POPULAR_MASCULINO,"Produto com alta aceitação entre o público masculino."
010000PRKN,"Sorocaba",SP,100.00,90.00,,01000KRYJG,LOOKALAKE_POPULAR_MASCULINO,"Produto com alta aceitação entre o público masculino."
010000PS3T,"Sorocaba",SP,100.00,90.00,,01000FXF0I,LOOKALAKE_POPULAR_MASCULINO,"Produto com alta aceitação entre o público masculino."
010000PU8N,"Sorocaba",SP,100.00,90.00,,01000N2W4T,LOOKALAKE_POPULAR_IN_REGION,"Sucesso de vendas na sua região."
010000PV7M,"Sorocaba",SP,100.00,90.00,,01000KRYJG,LOOKALAKE_POPULAR_MASCULINO,"Produto com alta aceitação entre o público masculino."
010000PX4G,"Sorocaba",SP,100.00,90.00,,01000KRYJG,LOOKALAKE_POPULAR_MASCULINO,"Produto com alta aceitação entre o público masculino."
010000PZD3,"Sorocaba",SP,100.00,90.00,,01000KRYJG,LOOKALAKE_POPULAR_MASCULINO,"Produto com alta aceitação entre o público masculino."
010000Q08A,"Sorocaba",SP,100.00,90.00,,01000KRYJG,LOOKALAKE_POPULAR_MASCULINO,"Produto com alta aceitação entre o público masculino."
010000Q1I7,"Sorocaba",SP,100.00,90.00,,01000KRYJG,LOOKALAKE_POPULAR_MASCULINO,"Produto com alta aceitação entre o público masculino."
010000Q24P,"Sorocaba",SP,100.00,90.00,,01000KRYJG,LOOKALAKE_POPULAR_MASCULINO,"Produto com alta aceitação entre o público masculino."
010000Q31I,"Sorocaba",SP,100.00,90.00,,01000KRYJG,LOOKALAKE_POPULAR_MASCULINO,"Produto com alta aceitação entre o público masculino."
010000Q4QM,"Sorocaba",SP,100.00,90.00,,01000KRYJG,LOOKALAKE_POPULAR_MASCULINO,"Produto com alta aceitação entre o público masculino."
010000Q5F6,"Sorocaba",SP,100.00,90.00,,01000KRYJG,LOOKALAKE_POPULAR_MASCULINO,"Produto com alta aceitação entre o público masculino."
010000Q64O,"Sorocaba",SP,100.00,90.00,,01000KRYJG,LOOKALAKE_POPULAR_MASCULINO,"Produto com alta aceitação entre o público masculino."
010000Q90S,"Sorocaba",SP,100.00,90.00,,01000KRYJG,LOOKALAKE_POPULAR_MASCULINO,"Produto com alta aceitação entre o público masculino."
010000QA6H,"Sorocaba",SP,100.00,90.00,,01000KRYJG,LOOKALAKE_POPULAR_MASCULINO,"Produto com alta aceitação entre o público masculino."
010000QB1M,"Sorocaba",SP,100.00,90.00,,01000KRYJG,LOOKALAKE_POPULAR_MASCULINO,"Produto com alta aceitação entre o público masculino."
010000QC49,"Sorocaba",SP,100.00,90.00,,01000KRYJG,LOOKALAKE_POPULAR_MASCULINO,"Produto com alta aceitação entre o público masculino."
