idpessoa,idproduto,qtitem
,010009M8J5,1
,01000FVX6X,1
,01000FZQ1N,2
,01000HW14B,4
,01000K7E42,1
,01000KRYJG,0.524
,01000M352T,2
,01000MQMFA,1
,01006UTEIT,1
01000018N3,010009BT16,4
01000018N3,010009CD2U,2
01000018N3,010009FQ85,14
01000018N3,010009FXCC,15
01000018N3,010009H02R,2
01000018N3,010009H9NX,23
01000018N3,010009IL0F,41
01000018N3,010009JH2T,1
01000018N3,010009M8J5,3
01000018N3,010009MW0A,6
01000018N3,010009NRB5,206
01000018N3,010009NUJR,124
01000018N3,010009O3LJ,13.806
01000018N3,010009OS3K,2.586
01000018N3,010009OY2D,6.346
01000018N3,010009P07Z,6
01000018N3,010009P4FA,1
01000018N3,010009Q150,4
01000018N3,010009QEBB,3.238
01000018N3,010009QG4R,1
01000018N3,010009QL1I,5
01000018N3,010009QNH9,12
01000018N3,010009QZ8S,2
01000018N3,010009TP6C,4
01000018N3,010009U2GW,12
01000018N3,010009VG52,2
01000018N3,010009W7B1,6
01000018N3,010009WB5F,19
01000018N3,010009WD0V,1
01000018N3,010009WK54,3
01000018N3,010009X80F,3
01000018N3,010009XI6K,7
01000018N3,010009XS03,9
01000018N3,010009Y45Q,32
01000018N3,010009Y6C1,4
01000018N3,010009Y8H1,13
01000018N3,010009YA24,1
01000018N3,010009YM1Y,14
01000018N3,010009YQ1M,3
01000018N3,010009YV8K,24
01000018N3,010009YZ1F,12
01000018N3,010009Z145,4
01000018N3,010009ZH3S,9
01000018N3,010009ZP03,2
01000018N3,010009ZRAR,13
01000018N3,010009ZV6L,2
01000018N3,010009ZXBF,5
01000018N3,01000A0H0L,1
01000018N3,01000A0MFT,9
01000018N3,01000A0O27,1
01000018N3,01000A0ZPC,1
01000018N3,01000A19AF,1
01000018N3,01000A1X4H,4
01000018N3,01000A1Z6H,3
01000018N3,01000A234T,2
01000018N3,01000A2H18,2
01000018N3,01000A2Y71,2
01000018N3,01000A3085,9
01000018N3,01000A32E2,7
01000018N3,01000A3472,9
01000018N3,01000A3K1H,16
01000018N3,01000A4X6V,7
01000018N3,01000A4Z44,21
01000018N3,01000A5GPB,15
01000018N3,01000A5S0E,2
01000018N3,01000A5X7G,5
01000018N3,01000A6391,4
01000018N3,01000A6A3W,6
01000018N3,01000A8UDK,5
01000018N3,01000A9JC1,1
01000018N3,01000A9LC4,3
01000018N3,01000A9R1H,7
01000018N3,01000ABP2T,10
01000018N3,01000ADG2I,1
01000018N3,01000ADU55,5
01000018N3,01000AE56Q,6
01000018N3,01000AEF6U,11
01000018N3,01000AEJD4,10
01000018N3,01000AF80A,8.902
01000018N3,01000AFAE3,27.642
01000018N3,01000AFO3A,3
01000018N3,01000AFR2P,2
01000018N3,01000AFT0R,2
01000018N3,01000AGPB1,3
01000018N3,01000AHA0Y,5
01000018N3,01000AHC65,1
01000018N3,01000AHIA1,8
01000018N3,01000AHL0A,2
01000018N3,01000AI3AM,6.18
01000018N3,01000AIP2K,3
01000018N3,01000AJ5BU,7
01000018N3,01000AJJ7N,5
01000018N3,01000AJO0K,9
01000018N3,01000ALNRJ,2
01000018N3,01000ANR2O,1.934
01000018N3,01000AOM66,0.782
