iddocumento,idproduto,dtemissao
0100BH2NJU,01000MKN7Z,2025-11-13T00:00:00.000Z
0100BH2T1L,01000O0Y3L,2025-11-13T00:00:00.000Z
0100BH2T1L,01000CD901,2025-11-13T00:00:00.000Z
0100BH2T1L,01000MN9C8,2025-11-13T00:00:00.000Z
0100BH2T1L,01005NPI08,2025-11-13T00:00:00.000Z
0100BH2T1L,01000OKV46,2025-11-13T00:00:00.000Z
0100BH2T1L,0100AXTBTZ,2025-11-13T00:00:00.000Z
0100BH38FU,01000N2Q38,2025-11-13T00:00:00.000Z
0100BH38FU,0100AXSXDO,2025-11-13T00:00:00.000Z
0100BH3FDI,01000HLH0J,2025-11-13T00:00:00.000Z
0100BH3L79,01000MMP5R,2025-11-13T00:00:00.000Z
0100BH3L79,01000NP78Q,2025-11-13T00:00:00.000Z
0100BH3L79,01000MNB0I,2025-11-13T00:00:00.000Z
0100BH3L79,01000MJ157,2025-11-13T00:00:00.000Z
0100BH3L79,01000MM11A,2025-11-13T00:00:00.000Z
0100BH3Z9I,01000HLH0J,2025-11-13T00:00:00.000Z
0100BH44EM,01000KIS1C,2025-11-13T00:00:00.000Z
0100BH44EM,01000MMR7R,2025-11-13T00:00:00.000Z
0100BH44EM,01000MP37G,2025-11-13T00:00:00.000Z
0100BH4D3Y,01003K9Y1B,2025-11-13T00:00:00.000Z
0100BH4D3Y,01000N2O0Y,2025-11-13T00:00:00.000Z
0100BH4KAW,01000EQC88,2025-11-13T00:00:00.000Z
0100BH4KAW,01000J8ALS,2025-11-13T00:00:00.000Z
0100BH4KAW,01000MN9C8,2025-11-13T00:00:00.000Z
0100BH4KAW,01000CD2N4,2025-11-13T00:00:00.000Z
0100BH4V6G,01000KP4FI,2025-11-13T00:00:00.000Z
0100BH503H,01000KZTDQ,2025-11-13T00:00:00.000Z
0100BH5537,01000FN2B1,2025-11-13T00:00:00.000Z
0100BH5BFT,01000LLZ4S,2025-11-13T00:00:00.000Z
0100BH5BFT,01005BW49V,2025-11-13T00:00:00.000Z
0100BH5BFT,01005UOYBB,2025-11-13T00:00:00.000Z
0100BH5BFT,01000AHIA1,2025-11-13T00:00:00.000Z
0100BH5O4K,01000NYN3V,2025-11-13T00:00:00.000Z
0100BH5TP5,01000NHKF1,2025-11-13T00:00:00.000Z
0100BH5Y94,01005EAP8S,2025-11-13T00:00:00.000Z
0100BH661E,01000JP050,2025-11-13T00:00:00.000Z
0100BH6C02,01000OIX40,2025-11-13T00:00:00.000Z
0100BH6C02,01000M1M4A,2025-11-13T00:00:00.000Z
0100BH6LMN,01000EDU2I,2025-11-13T00:00:00.000Z
0100BH7G4Y,01000FOD0Y,2025-11-13T00:00:00.000Z
0100BH7LED,01000N2M1N,2025-11-13T00:00:00.000Z
0100BH6R3V,01000C7TGE,2025-11-13T00:00:00.000Z
0100BH6R3V,01000O55DH,2025-11-13T00:00:00.000Z
0100BH6R3V,01000N2M1N,2025-11-13T00:00:00.000Z
0100BH6R3V,01000O0LA8,2025-11-13T00:00:00.000Z
0100BH6R3V,01000NQ3JT,2025-11-13T00:00:00.000Z
0100BH6R3V,01000NFADZ,2025-11-13T00:00:00.000Z
0100BH6R3V,010009YO0D,2025-11-13T00:00:00.000Z
0100BH6R3V,01000I7055,2025-11-13T00:00:00.000Z
0100BH7Q2H,01005BTR9P,2025-11-13T00:00:00.000Z
0100BH7Q2H,01000DGVFZ,2025-11-13T00:00:00.000Z
0100BH7Q2H,01000AOW0T,2025-11-13T00:00:00.000Z
0100BH818U,01000KEF01,2025-11-13T00:00:00.000Z
0100BH870A,01000EQC88,2025-11-13T00:00:00.000Z
0100BH870A,01000MN9C8,2025-11-13T00:00:00.000Z
0100BH8E0A,01000JGD1W,2025-11-13T00:00:00.000Z
0100BH8E0A,01000EWABR,2025-11-13T00:00:00.000Z
0100BH8PCD,010009NUJR,2025-11-13T00:00:00.000Z
0100BH8PCD,01000E0Q4R,2025-11-13T00:00:00.000Z
0100BH8PCD,01000DI3QX,2025-11-13T00:00:00.000Z
0100BH8PCD,01000DGVFZ,2025-11-13T00:00:00.000Z
0100BH8PCD,01009IFUK4,2025-11-13T00:00:00.000Z
0100BH8PCD,01000NYJBF,2025-11-13T00:00:00.000Z
0100BH8PCD,01000N2E9E,2025-11-13T00:00:00.000Z
0100BH8PCD,01000N6J4G,2025-11-13T00:00:00.000Z
0100BH9F1C,01000CCV74,2025-11-13T00:00:00.000Z
0100BH9F1C,01000L9M1M,2025-11-13T00:00:00.000Z
0100BH9F1C,01000MVK7V,2025-11-13T00:00:00.000Z
0100BH9O2A,01000N2M1N,2025-11-13T00:00:00.000Z
0100BH9O2A,01000NYH15,2025-11-13T00:00:00.000Z
0100BH9O2A,01000N2M1N,2025-11-13T00:00:00.000Z
0100BH9X0M,01000O05AO,2025-11-13T00:00:00.000Z
0100BHA2KC,01000LYG80,2025-11-13T00:00:00.000Z
0100BHA7F2,010064JV0U,2025-11-13T00:00:00.000Z
0100BHB41U,01000KZTDQ,2025-11-13T00:00:00.000Z
0100BHAF0E,01000MMV3C,2025-11-13T00:00:00.000Z
0100BHAF0E,01008STKD4,2025-11-13T00:00:00.000Z
0100BHAF0E,01000HRL9S,2025-11-13T00:00:00.000Z
0100BHAF0E,01005BW49V,2025-11-13T00:00:00.000Z
0100BHAF0E,01008STKD4,2025-11-13T00:00:00.000Z
0100BHAF0E,01000MSQGH,2025-11-13T00:00:00.000Z
0100BHAF0E,01000OK14E,2025-11-13T00:00:00.000Z
0100BHAF0E,01000OAQR5,2025-11-13T00:00:00.000Z
0100BHAF0E,01000KZTDQ,2025-11-13T00:00:00.000Z
0100BHBA4I,01000EQC88,2025-11-13T00:00:00.000Z
0100BHBA4I,01000FLS7T,2025-11-13T00:00:00.000Z
0100BHBHEB,01000N2M1N,2025-11-13T00:00:00.000Z
0100BHBHEB,01000EQC88,2025-11-13T00:00:00.000Z
0100BHBHEB,01000EQC88,2025-11-13T00:00:00.000Z
0100BHBU84,01000NZX3J,2025-11-13T00:00:00.000Z
0100BHBU84,01000NYJBF,2025-11-13T00:00:00.000Z
0100BHBU84,0100AXR39D,2025-11-13T00:00:00.000Z
0100BHC3BD,01000MUD12,2025-11-13T00:00:00.000Z
0100BHC82F,01003M2X92,2025-11-13T00:00:00.000Z
0100BHC82F,01000O05AO,2025-11-13T00:00:00.000Z
0100BHCF49,01000MP37G,2025-11-13T00:00:00.000Z
0100BHCF49,01000CD901,2025-11-13T00:00:00.000Z
0100BHCMAA,01000JOE61,2025-11-13T00:00:00.000Z
0100BHCMAA,01000KIYCB,2025-11-13T00:00:00.000Z
